-0.864328154	0.798681038	1
-0.816841325	0.734944963	0.75
-0.718175922	0.576450913	0.5
-0.462153408	0.286023483	0.25
-0.120389351	-0.081067329	0
0.302197535	-0.447970449	-0.25
0.608434816	-0.699499044	-0.5
0.751132981	-0.812283499	-0.75
1	-1	-1
-1	0.98219132	1
-0.952088677	0.946953394	0.75
-0.819858666	0.75047816	0.5
-0.600124276	0.497572476	0.25
-0.16909974	0.044249238	0
0.278192056	-0.326796625	-0.25
0.549336692	-0.568644547	-0.5
0.679920971	-0.654513328	-0.75
0.990533985	-0.889393197	-1
-0.964475787	0.951475138	1
-0.907718421	0.890863717	0.75
-0.7806917	0.713962672	0.5
-0.569333458	0.448898263	0.25
-0.166934276	0.049192723	0
0.31318518	-0.385116221	-0.25
0.577036309	-0.573608089	-0.5
0.691927878	-0.662449989	-0.75
0.911993122	-0.810228432	-1
-0.999749993	1	1
-0.954082266	0.940265529	0.75
-0.973173623	0.846901898	0.5
-0.620034644	0.526292498	0.25
-0.218348685	0.113513054	0
0.244908989	-0.30743249	-0.25
0.531004275	-0.525293452	-0.5
0.68768603	-0.657712542	-0.75
0.983349054	-0.869194838	-1
-0.98715239	0.976120668	1
-0.962093317	0.956267968	0.75
-0.841245008	0.790224229	0.5
-0.607680605	0.500217564	0.25
-0.190714314	0.073188064	0
0.253870253	-0.310481397	-0.25
0.522581076	-0.523792066	-0.5
0.706033833	-0.663197307	-0.75
0.988409355	-0.854470892	-1
