	5.1371e-2	-7.4683e-2	-7.7416e-3
	-1.4953	1.6663	2.6611e-2
	-0.2571	0.2556	1.2759e-2
	-1.0787	1.1469	1.6629e-2
	0.9279	-1.022	-1.9956e-2
	0.9932	-1.0632	-1.6481e-2
	1.1047	-1.2452	-1.1852e-2
	-0.4725	0.5459	1.5891e-2
	1.1373	-1.1961	-1.9153e-2
	-1.3168	1.4123	2.7254e-2
	-5.3118e-2	9.6962e-2	3.8861e-3
	1.0922	-1.1799	-2.086e-2
	-8.0543e-2	0.1158	5.9251e-3
	-0.506	0.5099	2.2962e-2
	0.1335	-0.1856	-1.3827e-2

	4.7095e-2	-0.2212	-5.801e-2	-0.1585	0.1354	9.1363e-2	0.1059	-1.2967e-2	0.1671	-0.1257	-2.9716e-2	0.1436	2.775e-2	-1.753e-2	1.9126e-2	1.8823e-2
	-3.3984e-2	0.2828	2.0946e-5	0.1824	-0.1824	-0.2248	-0.2576	0.128	-0.2356	0.2494	2.191e-2	-0.2358	4.3615e-2	0.1341	-5.7687e-2	1.2965e-3
	2.1211e-2	0.2892	2.3345e-2	0.2211	-0.1144	-0.2054	-0.145	6.225e-2	-0.229	0.2203	4.9081e-2	-0.2	-2.4215e-2	9.7477e-2	7.678e-3	6.4373e-3
	2.3443e-2	-2.6158e-2	2.2369e-2	-3.5918e-2	6.375e-2	7.7558e-2	4.448e-2	-6.4488e-2	3.7104e-2	-2.9124e-2	-1.6737e-2	6.3007e-2	4.0636e-2	-5.5841e-3	5.5072e-2	1.1542e-2
	-4.492e-2	-0.1125	3.3536e-2	-7.6444e-2	3.0276e-2	9.2722e-2	3.1617e-2	-3.9927e-2	8.3835e-2	-8.8299e-2	-5.6805e-3	4.4331e-2	1.8661e-2	-6.1032e-2	-1.3972e-2	-1.605e-2
	-6.9189e-5	-0.414	-3.0021e-2	-0.337	0.2485	0.231	0.3253	-0.1149	0.2696	-0.3658	-7.2458e-3	0.2813	-7.388e-2	-8.0483e-2	6.4173e-2	2.8271e-3
	2.9077e-3	0.2904	8.3884e-2	0.1729	-0.1857	-0.2018	-0.2402	7.1008e-2	-0.2084	0.2822	4.0952e-2	-0.2129	1.2216e-3	0.1282	-1.7221e-2	-1.865e-2
	-6.2784e-2	0.4268	8.8884e-2	0.3012	-0.2392	-0.2391	-0.331	0.1017	-0.303	0.2922	3.8159e-2	-0.2872	-5.5329e-3	0.1229	-1.6598e-2	-2.697e-3
	-3.0703e-2	0.2175	2.6741e-2	0.1215	-8.9151e-2	-9.3657e-2	-0.129	5.5578e-2	-9.4519e-2	0.1904	-6.5364e-4	-7.5022e-2	-1.9515e-3	6.4881e-2	-2.6247e-2	-1.4833e-2
	3.4929e-2	0.1701	6.504e-2	0.1325	-0.1325	-7.6613e-2	-7.9531e-2	4.1573e-2	-9.3258e-2	0.1584	3.0127e-2	-0.1608	-3.6022e-2	1.6119e-2	-4.0064e-2	7.4896e-3
	1.1718e-2	0.1729	-3.0267e-3	0.1722	-0.1046	-0.1397	-0.1085	4.7743e-2	-9.102e-2	0.139	-2.0687e-2	-0.1522	3.5544e-2	5.3346e-2	-2.277e-3	-2.4252e-2
	1.925e-2	2.9652e-2	3.9501e-2	-9.7007e-3	-7.1757e-3	-1.5097e-2	-4.758e-2	1.743e-2	-1.0648e-3	-1.9051e-2	4.24e-2	-3.8515e-2	1.738e-3	-4.4299e-3	-1.9284e-2	-1.3144e-2
	-3.5009e-2	0.4027	5.8619e-2	0.2226	-0.2604	-0.2831	-0.2297	0.1349	-0.2831	0.3061	6.0967e-2	-0.2826	6.6534e-3	0.1232	-1.5639e-2	-2.7762e-3
